Property Name,Location,BHK,Price,Status,Possession,Description
Signature Global Daxin Vistas,"Sohna, Gurgaon",3 BHK Independent Floor,₹ 2 Cr,New Launch,Apr 2028,"Check out beautifully designed 3 BHK Independent Floor in Signature Global Daxin Vistas, coming up in Sohna. Independent Floor in this project are priced in the range of Rs. 2 Cr. Independent Floor here are New Launch. Signature Global Daxin Vistas offers Independent Floor in the size rang"
The Palatial by Hero Homes,"Sector 104, Gurgaon","3, 4 BHK Apartment",₹ 4.55 - 5.54 Cr,Under Construction,Apr 2028,"Beautiful 3,4 BHK apartments in Sector 104, are now available in The Palatial by Hero Homes housing project. Apartments in this complex are available in price range of Rs. 4.55 - 5.54 Cr. The housing society is RERA-registered with RC/REP/HARERA/GGM/906/638/2025/09 registration number. The"
Gaur Aspire Centurian Park,"Techzone 4 Greater Noida West, Greater Noida","3, 4 BHK Apartment",₹ 2.57 - 4.06 Cr,New Launch,Mar 2030,"Spacious 3,4 BHK apartments in Techzone 4 Greater Noida West are available for sale.Check out latest property options at Gaur Aspire Centurian Park housing society. Prices of apartments in this project, vary between Rs. 2.57 - 4.06 Cr. Gaur Aspire Centurian Park apartments are available in"
Ace Hanei,"Sector-12, Greater Noida","2, 3, 4 BHK Apartment",₹ 1.88 - 5.45 Cr,New Launch,Oct 2028,"Ace Hanei society now offers elegantly built 2,3,4 BHK apartments in Sector-12. Here units have different sizes, mostly in range of 1,341.56 - 3,108.9 sq.ft. CARPET area. Ace Hanei is a RERA- registered society and UPRERAPRJ677887/10/2024 is the RERA registration number. Apartment prices i"
BPTP Amstoria Verti Greens,"Sector 102, Gurgaon","2, 3 BHK Apartment",₹ 2.97 - 4.18 Cr,New Launch,Jun 2032,"BPTP Amstoria Verti Greens society now offers elegantly built 2,3 BHK apartments in Sector 102. This society offers apartments in the price range of Rs. 2.97 - 4.18 Cr. BPTP Amstoria Verti Greens is a RERA- registered society and GGM/910/642/2025/13 is the RERA registration number. Here un"
Casagrand Mercury,"Perambur, Chennai North","2, 3, 4 BHK Apartment | 5 BHK Villa",₹ 95 L - 3.33 Cr,New Launch,Sep 2027,"Check out 2 BHK Apartment, 3 BHK Apartment and 4 BHK Apartment in Casagrand Mercury, one of the best offerings in Perambur. Swimming Pool, Gymnasium and Club House are some of the popular amenities offered in this project. Properties in Casagrand Mercury are sized in the range of 1,190 - 3"
Signature Global Titanium SPR,"Sector 71, Gurgaon","3, 4 BHK Apartment",₹ 5 - 6.8 Cr,New Launch,May 2031,"Finest 3,4 BHK apartments in Sector 71 available for sale in Signature Global Titanium SPR. Here units have different sizes, mostly in range of 2,780 - 3,780 sq.ft. SUPER area. Signature Global Titanium SPR is a RERA- registered society and GGM/831/563/2024/58 DATED 03.06.2024 is the RERA"
Casagrand Hola Chennai,"Sholinganallur, Chennai South","1, 2, 3, 4 BHK Apartment | 4 BHK Villa",₹ 47.23 L - 1.39 Cr,New Launch,Mar 2027,"Casagrand Hola Chennai brings you beautifully designed 1 BHK Apartment, 2 BHK Apartment and 3 BHK Apartment in Sholinganallur. Properties in Casagrand Hola Chennai are sized in the range of 964 - 2,528 sq.ft.. Swimming Pool, Gymnasium and Club House are some of the amenities offered here."
Ashiana Amarah,"Sector 93, Gurgaon","3, 4 BHK Apartment",₹ 2.85 - 4.3 Cr,Under Construction,Jan 2027,"Ashiana Amarah society now offers elegantly built 3,4 BHK apartments in Sector 93. Apartments in Ashiana Amarah have CARPET area ranging between 1,000 - 1,444 sq.ft.. The housing society is RERA-registered with GGM/590/322/2022/65 DATED 18.07.2022 registration number. Apartments in this co"
Prestige City,"Siddhartha Vihar, Ghaziabad","2, 3, 4 BHK Apartment",₹ 1.6 - 4 Cr,New Launch,Nov 2029,"Beautiful 2,3,4 BHK apartments in Siddhartha Vihar, are now available in Prestige City housing project. The housing society is RERA-registered with UPRERAPRJ470993/04/2025 registration number. Apartment prices in this housing society vary in the range of Rs. 1.6 - 4 Cr. Apartments in Prest"
